#need this comment for re
TH
    298.9580    298.9440    298.9400    298.9380    298.9370 
    298.9370    298.9390    298.9430    298.9490    298.9580 
    298.9720    298.9960    299.0350    299.1020    299.2040 
    299.3190    299.4220    299.5160    299.6100    299.7070 
    299.8050    299.9090    300.0190    300.1350    300.2520 
    300.3760    300.5010    300.6300    300.7650    300.9030 
    301.0480    301.1990    301.3620    301.5450    301.7570 
    302.0080    302.3140    302.6890    303.1430    303.6510 
    304.1610    304.6620    305.1460    305.5970    306.0240 
    306.4340    306.8250    307.1900    307.5290    307.8320 
    308.0840    308.2890    308.4570    308.6020    308.7340 
    308.8750    309.0350    309.1990    309.3590    309.5170 
    309.6780    309.8380    310.0000    310.1470    310.2930 
    310.4380    310.5840    310.7290    310.8750    311.0210 
    311.1630    311.2970    311.4160
QV
      0.0171      0.0170      0.0169      0.0169      0.0169 
      0.0169      0.0168      0.0168      0.0168      0.0167 
      0.0167      0.0166      0.0164      0.0162      0.0159 
      0.0156      0.0153      0.0151      0.0149      0.0147 
      0.0145      0.0143      0.0141      0.0139      0.0137 
      0.0135      0.0133      0.0131      0.0129      0.0127 
      0.0124      0.0122      0.0120      0.0117      0.0114 
      0.0111      0.0107      0.0102      0.0096      0.0090 
      0.0084      0.0078      0.0072      0.0067      0.0063 
      0.0058      0.0054      0.0051      0.0048      0.0045 
      0.0043      0.0041      0.0040      0.0040      0.0039 
      0.0039      0.0039      0.0038      0.0038      0.0037 
      0.0037      0.0037      0.0036      0.0036      0.0035 
      0.0035      0.0034      0.0034      0.0033      0.0033 
      0.0032      0.0032      0.0031
PL
 101271.2700 100814.8900 100359.9900  99906.5400  99454.5200 
  99003.9700  98554.8500  98107.1900  97660.9600  97216.1600 
  96772.8000  96330.8700  95890.3800  95451.3600  95013.8900 
  94578.0300  94143.7700  93711.0600  93279.9600  92850.4300 
  92422.4800  91996.0900  91571.2700  91148.0200  90726.3200 
  90306.1600  89887.5600  89470.5000  89054.9900  88641.0000 
  88228.5400  87817.6200  87408.2000  87000.3000  86593.9100 
  86189.0300  85785.6600  85383.8500  84983.8000  84585.5400 
  84189.0900  83794.4200  83401.5400  83010.4100  82621.0500 
  82233.4600  81847.5900  81463.4800  81081.0800  80700.4100 
  80321.3900  79943.8800  79567.8000  79193.1300  78819.8900 
  78448.0900  78077.7000  77708.7000  77341.1200  76974.9600 
  76610.2000  76246.8100  75884.8200  75524.2300  75165.0200 
  74807.1800  74450.7200  74095.6300  73741.9000  73389.5300 
  73038.5300  72688.8700  72340.5600
